"unique_key","created_date","closed_date","descriptor","incident_address","street_name","cross_street_1","cross_street_2","borough","latitude","longitude"
"58854108","2023-09-18T17:50:00.000","2023-09-19T10:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","1693 49 STREET","49 STREET","16 AVE","17 AVE","BROOKLYN","40.62984689229707","-73.98352142840015"
"58854109","2023-09-18T17:20:00.000","2023-09-19T10:01:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","256 WEST    4 STREET","WEST    4 STREET","CHARLES ST","PERRY ST","MANHATTAN","40.73518414136784","-74.0032475207064"
"58851587","2023-09-18T16:32:00.000","2023-09-24T04:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","438 FLAGG PLACE","FLAGG PLACE","BEND","TODT HILL RD","STATEN ISLAND","40.58289296874589","-74.11219802445862"
"58847766","2023-09-18T16:17:00.000","2023-09-26T11:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","880 LENOX ROAD","LENOX ROAD","E 54 ST","E 55 ST","BROOKLYN","40.6555763210969","-73.92674766549251"
"58846523","2023-09-18T15:56:00.000","2023-09-19T11:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","88-02 103 AVENUE","103 AVENUE","88 ST","89 ST","QUEENS","40.680601223854936","-73.85085161980726"
"58849074","2023-09-18T15:38:00.000","2023-09-24T02:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","564 ELTINGVILLE BOULEVARD","ELTINGVILLE BOULEVARD","BARLOW AVE","GURLEY AVE","STATEN ISLAND","40.55891282858661","-74.16752951439454"
"58851588","2023-09-18T15:35:00.000","2023-09-19T09:15:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","118-02 228 STREET","228 STREET","118 AVE","119 AVE","QUEENS","40.691172187329286","-73.73410945403623"
"58849075","2023-09-18T15:20:00.000","2023-09-19T11:55:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","62-25 69 STREET","69 STREET","62 RD","62 DR","QUEENS","40.71688063636006","-73.88884261219641"
"58854110","2023-09-18T15:02:00.000","2023-09-19T10:35:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"BROOKLYN","40.68504749172531","-73.95424798978414"
"58850349","2023-09-18T15:02:00.000","2023-09-19T11:30:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","61-55 69 STREET","69 STREET","61 DR","62 AVE","QUEENS","40.71808940757011","-73.88996250810366"
"58851589","2023-09-18T14:53:00.000","2023-09-26T12:05:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"MANHATTAN","40.74214140625986","-73.98705547418629"
"58850350","2023-09-18T14:35:00.000","2023-09-19T13:20:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)",,,,,"QUEENS","40.7134965426944","-73.758249944708"
"58849076","2023-09-18T14:23:00.000","2023-09-19T13:10:00.000","Catch Basin Clogged/Flooding (Use Comments) (SC)","152-32 12 AVENUE","12 AVENUE","152 ST","154 ST","QUEENS","40.79169500869938","-73.80968528121731"
