geoid,tract_id,empirical_estimate,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,n_images_by_area
36061015602.0,36061015602.0,0.0,0.3400327819947687,0.01571140126016351,0.9720245763433107,294
36061015700.0,36061015700.0,0.0,0.20214519092168776,0.0049903408380716835,0.8528355463767742,861
36061015801.0,36061015801.0,0.0,0.13323221547317604,0.003887217205666088,0.6370172024214844,431
36061015802.0,36061015802.0,0.0,0.07615659797727974,0.001769839176466151,0.4232981736362754,194
36061016001.0,36061016001.0,0.0,0.17019177144985906,0.0031244123979486727,0.8039342963900723,585
36061016100.0,36061016100.0,0.0,0.11383855552963577,0.0017221216047584253,0.6453967384667086,591
36061016200.0,36061016200.0,0.0004923682914820286,1.0,1.0,1.0,2031
36061016400.0,36061016400.0,0.0,0.4864417870309808,0.030074058905037844,0.9981353976813163,447
36061016500.0,36061016500.0,0.0,0.25766543065852865,0.007154582362836954,0.9442428228761706,815
36061016600.0,36061016600.0,0.0030864197530864196,0.34523580256584646,0.012024579316618753,0.9899046756334723,324
36061016900.0,36061016900.0,0.0,0.2284117901739528,0.004651661631673418,0.9065664873490547,664
36061017000.0,36061017000.0,0.0,0.36155548799209664,0.011472092322069808,0.9909402804621403,394
36061017100.0,36061017100.0,0.0,0.422550773116811,0.012876409788886309,0.9970165438730262,535
36061017200.0,36061017200.0,0.0,0.569879993507307,0.0637263880623178,0.9990049925771992,264
36061017300.0,36061017300.0,0.0,0.18520091175532344,0.0028961571190263937,0.8671441204669142,478
36061017401.0,36061017401.0,0.0,0.4798015536538016,0.026508125144571074,0.9983910247918415,299
36061017402.0,36061017402.0,0.0,0.09052337170007702,0.0013120437259114075,0.5452475147253336,149
36061017500.0,36061017500.0,0.004081632653061225,0.6977773262973779,0.018114017226693084,0.9999999777247043,490
36061017700.0,36061017700.0,0.002150537634408602,0.1233317286073235,0.0010431692726718179,0.7947045842438194,465
36061018000.0,36061018000.0,0.002053388090349076,1.0,1.0,1.0,487
36061018100.0,36061018100.0,0.0,0.15094975323827783,0.0021963904603129803,0.7736908397561268,517
36061018400.0,36061018400.0,0.0,0.22725868646120062,0.008050048522116937,0.8752311881829463,520
36061018600.0,36061018600.0,0.006993006993006993,0.11474131285339559,0.002554382559823837,0.627220622125688,143
36061018700.0,36061018700.0,0.0,0.3008868348650224,0.005248827440827506,0.9766114225706067,577
36061019300.0,36061019300.0,0.0,0.12502094133089645,0.0028857298934682474,0.6401355513357011,606
36061019600.0,36061019600.0,0.0,0.3315862674183757,0.015044092113149143,0.9656468651464155,552
36061019702.0,36061019702.0,0.0,0.038064663439996545,0.000356676303738232,0.2592006867157474,214
36061019900.0,36061019900.0,0.0,0.31064712534412275,0.008503333911004687,0.9738850755099545,363
36061020500.0,36061020500.0,0.004210526315789474,1.0,1.0,1.0,475
36061020600.0,36061020600.0,0.0,0.2471788689549905,0.008414085142998509,0.9110119632600749,373
36061020701.0,36061020701.0,0.0,0.009982323130011206,8.982633510357385e-05,0.06939996212139095,84
36061020800.0,36061020800.0,0.004975124378109453,0.11292088028545845,0.0016910728854564766,0.690890624154376,201
36061021303.0,36061021303.0,0.0,0.04155716835023528,0.0007964450821361712,0.24827934969012555,178
36061021500.0,36061021500.0,0.0,0.0626541717574432,0.0011408219765921379,0.37527069702927796,104
36061021600.0,36061021600.0,0.0,0.1490181118679247,0.0039652253276080685,0.736839856503342,324
36061021703.0,36061021703.0,0.0,0.05138792868902684,0.0016191554813590665,0.26473083378534645,128
36061021800.0,36061021800.0,0.0,0.18596642042193354,0.0046570566732031665,0.8117501834202252,431
36061022000.0,36061022000.0,0.0,0.14164754179680203,0.0019299516649246174,0.7777389445802199,311
36061022102.0,36061022102.0,0.0,0.026636169349029376,0.0003803663603879098,0.16816764825854522,157
36061022200.0,36061022200.0,0.0,0.17712092997149861,0.004360547309851051,0.8149375837387713,423
36061022301.0,36061022301.0,0.0,0.2924976879148363,0.003896228568463109,0.983284209786408,358
36061022400.0,36061022400.0,0.002890173410404624,0.2617385923111091,0.006849834264570743,0.9640025646850067,346
36061022600.0,36061022600.0,0.0,0.13545309907071906,0.0024549405196958086,0.7073409575009048,204
36061022800.0,36061022800.0,0.0,0.13623309193215066,0.002329020231053927,0.721487495985996,292
36061023100.0,36061023100.0,0.0,0.05867423994359475,0.0014126492217203246,0.3283310724189326,198
36061023400.0,36061023400.0,0.0,0.08256243590450467,0.0016414154776539403,0.4685006555203356,117
36061023502.0,36061023502.0,0.0,0.010589800760490094,0.00014504950540470684,0.06686995064965412,39
36061024301.0,36061024301.0,0.0,0.03460016557429834,0.0004903829406200932,0.22545914509027684,62
36061024900.0,36061024900.0,0.0,0.05704170585757525,0.0004500905635207969,0.4070694956499764,109
36061025500.0,36061025500.0,0.015360983102918587,1.0,1.0,1.0,1302
36061026500.0,36061026500.0,0.008036739380022962,0.9980240091377933,0.9896271139645925,1.0,871
36061026700.0,36061026700.0,0.0,0.068100178634176,0.00024406531277566535,0.5063298192800697,46
36061026900.0,36061026900.0,0.0,0.14000369426515696,0.0019123916555806308,0.7314798588175194,171
36061027100.0,36061027100.0,0.0,0.182364452391636,0.00425371171220931,0.8211766136488089,192
36061029300.0,36061029300.0,0.0,0.17893603650931728,0.0012482971752261097,0.9001316785187318,280
36061029500.0,36061029500.0,0.0,0.035834264017415435,0.00021230094518864264,0.2624174994455462,86
36005000200.0,36005000200.0,0.0,0.1490459985253689,0.0013429379515435408,0.8155255626217176,106
36005001600.0,36005001600.0,0.0,0.12383888050489632,0.0017562535317845573,0.6713598509583951,220
36005001904.0,36005001904.0,,0.0,0.0,0.0,0
36005002002.0,36005002002.0,0.0,0.027964540343155448,0.00031933321005894467,0.182349941278859,86
36005002300.0,36005002300.0,0.0,0.3226025150032247,0.010488521607921616,0.9740966934336948,99
36005002500.0,36005002500.0,0.0,0.2781271330069279,0.008629857363465313,0.9553593356527269,225
36005002701.0,36005002701.0,0.0,0.1345549747029372,0.0011720773541507024,0.7919553877897227,31
36005002702.0,36005002702.0,0.0,0.29091536564098797,0.014894797779494585,0.9322224681799612,176
36005003800.0,36005003800.0,0.0,0.011925680175858612,2.398248435685757e-05,0.09362036780138858,52
36005003900.0,36005003900.0,0.0,0.3511181017495554,0.015326723408851411,0.9749581767274832,285
36005004001.0,36005004001.0,0.0,0.10176298836335346,0.0009445943283028807,0.6274153460996599,70
36005004200.0,36005004200.0,0.0,0.32180803623953363,0.015987877117317868,0.9568289770468235,1573
36005004400.0,36005004400.0,0.0,0.22777441889228872,0.009764001008586076,0.8622009231820182,344
36005004600.0,36005004600.0,0.0,0.054555028621264344,0.0006870150853599017,0.34540884475641004,281
36005004800.0,36005004800.0,0.0,0.27894330236142734,0.017499928492659907,0.900770147626796,245
36005005001.0,36005005001.0,0.0,0.024545072511627148,0.000162478868157076,0.18342428872383829,22
36005005002.0,36005005002.0,0.0,0.05689335001861689,0.00047196822211305057,0.4081923936091274,47
36005005400.0,36005005400.0,0.0,0.37806053991370775,0.01869094436484901,0.9865126208921031,121
36005006302.0,36005006302.0,0.0,0.292701028687735,0.010368061071567928,0.954539336912665,289
36005006400.0,36005006400.0,0.029585798816568046,1.0,1.0,1.0,169
36005006500.0,36005006500.0,0.0,0.4076259458858694,0.029550576955802738,0.9795981643945528,360
36005006800.0,36005006800.0,0.0,0.15105098937652756,0.003015881597031947,0.744239271602496,175
36005007000.0,36005007000.0,0.0,0.05847499101667272,0.000709253954568001,0.37700290775351736,81
36005007200.0,36005007200.0,0.0023923444976076554,0.6757679599164438,0.08980169096572926,0.9999684295970681,418
36005007400.0,36005007400.0,0.0,0.026535791227556137,0.00015422888266444223,0.1906519743246794,47
36005007600.0,36005007600.0,0.0,0.10761251537892981,0.0021633150011676843,0.5894955640236327,139
36005007900.0,36005007900.0,0.0,0.0845380347439551,0.002794091309640459,0.43385856775974363,202
36005008400.0,36005008400.0,0.0,0.030699129853945597,6.573218324348041e-05,0.25044011818520384,89
36005008500.0,36005008500.0,0.0,0.08729136416431786,0.0024893297412515057,0.46003249348082914,215
