BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,p_y,p_y_CI_lower,p_y_CI_upper,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,manhole_overflow_311c,catch_basin_clogged/flooding_311c,highway_flooding_311c
Queens,4073900,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,455.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,455.0,0.0007321306176405,6.2776948245685e-06,0.0053248424430495,0.1909516627034587,0.002852284453389,0.911898699318886,5480,2702,192,628,1376,2446,2157,113333,291,1675,1629,252,33.0,74.0,60.12014104957478,2410963.8810919137,0.0,16772.103287427035,0.0,0.006956596662008488,0.0,36081073900,0,0,0,0,0
Queens,4074100,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,123.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,123.0,0.0014282462980838,8.216049101332806e-06,0.0113542714247448,0.1106031597886493,0.0010100677278264,0.7545208407289284,2984,1295,136,582,845,1402,1394,101528,375,652,787,236,31.0,78.0,56.34273823036592,1850023.237464963,0.0,0.0,0.0,0.0,0.0,36081074100,0,0,0,0,0
Queens,4074300,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,112.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,112.0,0.0012654091364902,8.55499184963819e-06,0.0083309157205384,0.1009346860498269,0.0009577042903221,0.6081870292341435,3979,1931,64,607,1238,1532,1514,76063,653,1241,524,394,15.0,57.0,38.73718564023805,2083271.538212709,0.0,0.0,0.0,0.0,0.0,36081074300,0,0,0,0,0
Queens,4074500,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,1003.0,0.0,0.0,0.0,1.0,0.0,1002.0,0.0,1003.0,0.0008488588089293,1.7202838707229405e-05,0.0040567969234894,0.4070419099399378,0.0171065873776867,0.983045835580383,3951,1649,346,801,755,1345,1293,53716,1043,806,300,494,9.0,50.0,24.07507187732936,1878214.5399783175,0.0,0.0,0.0,0.0,0.0,36081074500,0,0,0,0,0
Queens,4074700,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,114.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,114.0,0.0019973699211209,9.202040157897857e-06,0.0143037714328305,0.134227959511536,0.0010484873473294,0.806485809358612,3223,484,84,976,1579,1170,1156,106964,370,636,625,243,6.0,71.0,35.91258465900142,3175266.0896692704,0.0,13600.728096661478,3552.9247585620797,0.004283334911965788,0.0011189376443509794,36081074700,0,0,0,0,0
Queens,4075701,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,612.0,0.0,0.0,0.0,1.0,0.0,611.0,0.0,612.0,0.0012803318672003,1.989574629978227e-05,0.0072669395671198,0.3533476225403429,0.0121024863630228,0.9884788452751144,4845,2049,170,722,1498,2377,2105,111744,367,888,1525,297,42.0,94.0,71.74945912896247,2126274.8843731554,0.0,0.0,0.0,0.0,0.0,36081075701,0,0,0,0,0
Queens,4075702,Forest Hills,QN06 Forest Hills-Rego Park (CD 6 Approximation),4406,QN0602,QN06,425.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,425.0,0.0013324027960531,1.809779693529968e-05,0.0076199656164913,0.3002529634801194,0.0076621279442121,0.9612593957989918,5313,2556,197,428,1878,2360,2164,118859,518,1534,1327,161,21.0,75.0,61.94674493627373,3781087.444637674,0.0,34471.105378247536,2036.135375274079,0.009116717315579238,0.0005385052329751642,36081075702,0,0,0,0,0
Queens,4077902,Kew Gardens Hills,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),4408,QN0801,QN08,172.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,172.0,0.0030114984112159,3.667785281068928e-05,0.0192170713058141,0.2743510418124392,0.0062888482658865,0.96447444896112,5082,3529,84,540,470,1663,1357,102581,502,1185,878,125,27.0,81.0,59.01210360285572,6023238.683195808,0.0,0.0,0.0,0.0,0.0,36081077902,0,0,0,0,0
Queens,4077903,Kew Gardens Hills,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),4408,QN0801,QN08,125.0,1.0,0.0,0.0,0.0,0.0,125.0,1.0,124.0,0.0121059496279233,6.84582149036288e-05,0.0649964588698365,0.4886026599759311,0.0085210579300396,0.9997752718750204,3553,1436,38,820,1168,1107,1122,98194,427,784,322,217,27.0,111.0,73.7829791747693,2829814.735218571,0.0,0.0,0.0,0.0,0.0,36081077903,0,0,0,0,0
Queens,4077904,Kew Gardens Hills,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),4408,QN0801,QN08,232.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,232.0,0.0065284499757809,0.0001540671687389,0.0343917476067903,0.5352721828917216,0.0351149771202527,0.9997022607703978,6142,3255,204,976,1270,1802,1908,104840,1096,799,727,348,60.0,115.0,77.7796996996997,4162655.707272232,0.0,72601.14809650174,14833.839034351204,0.017441064839848818,0.003563551750973838,36081077904,1,1,0,0,0
Queens,4077906,Kew Gardens Hills,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),4408,QN0801,QN08,107.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,107.0,0.0029600236754442,1.7554443734598153e-05,0.0205355707893187,0.1885348362714549,0.0018765789820322,0.8914097418636237,3494,1893,222,353,881,1127,1096,81269,769,442,764,374,63.0,90.0,73.97712134375905,3108739.2185881063,0.0,3500.3261586744284,2314.4248127218616,0.0011259632643821982,0.0007444898558499873,36081077906,0,0,0,0,0
Queens,4077907,Kew Gardens Hills,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),4408,QN0801,QN08,119.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,119.0,0.0068161365931867,6.977034321751934e-05,0.0374420474285317,0.3623748593397658,0.0082685861196593,0.9893388975908533,3642,1826,332,1163,228,971,994,71136,531,431,427,68,60.0,85.0,69.24939924476485,2330107.146259818,0.0,36484.26807295675,509.5607682475354,0.015657764121070412,0.0002186855523212566,36081077907,0,1,0,0,0
Queens,4077908,Kew Gardens Hills,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),4408,QN0801,QN08,62.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,0.0041235682520019,3.27999540561734e-05,0.027859283471035,0.1634334569295625,0.0020315640776049,0.8265345896340116,3197,626,770,929,743,1016,1059,78375,418,480,249,188,58.0,73.0,66.62039055614825,2156625.4510967867,0.0,45272.15168461001,2221.6792269633397,0.020992125295371124,0.0010301646147380247,36081077908,0,0,0,0,0
Queens,4078800,Baisley Park,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),4412,QN1203,QN12,103.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,103.0,0.0017775670575519,1.1578750597642415e-05,0.0124987062888087,0.1234206522958202,0.0011919073174636,0.7262330939800681,1916,31,1252,190,87,521,534,98750,570,114,135,0,11.0,26.0,18.329832843585915,2075697.8403943968,0.0,3536.9989120414393,0.0,0.001704004717454148,0.0,36081078800,0,0,0,0,0
Queens,4079000,Baisley Park,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),4412,QN1203,QN12,1240.0,1.0,0.0,0.0,1.0,0.0,1239.0,1.0,1239.0,0.0013123060019835,1.1664290964324686e-05,0.0071980138561745,0.4997458107171513,0.0143597066099094,0.9998712699983444,2682,39,1554,218,198,711,787,94185,727,284,186,28,9.0,35.0,20.904715969989283,2799207.814416998,0.0,31133.8831773659,1299.53564386013,0.01112239077678135,0.0004642512203513512,36081079000,0,0,0,0,0
Queens,4079200,Baisley Park,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),4412,QN1203,QN12,2086.0,2.0,0.0,1.0,1.0,0.0,2084.0,1.0,2084.0,0.001066256594768,1.4934879155067798e-05,0.0060038307460685,0.6009446245281596,0.0306740932482688,0.999996495633926,2660,11,1536,320,237,629,608,74474,776,255,184,12,6.0,32.0,17.904604426354616,3931973.1763364254,0.0,0.0,0.0,0.0,0.0,36081079200,0,0,0,0,0
Queens,4079300,Mount Hebron & Cedar Grove Cemeteries,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),4408,QN0871,QN08,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0128111830282578,3.877180199596864e-05,0.0898891666357373,0.1364232658722483,0.0006589162294194,0.7983474087003493,0,0,0,0,0,0,0,-666666666,0,0,0,0,7.0,88.0,54.08484111296944,9208873.415270586,0.0,0.0,0.0,0.0,0.0,36081079300,0,0,0,0,0
Queens,4079701,Flushing-Willets Point,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0707,QN07,113.0,0.0,0.0,0.0,2.0,0.0,111.0,0.0,113.0,0.0024074066261741,2.318394331188512e-05,0.0152496754389424,0.1673552396078736,0.0026163872378919,0.8238618976059091,6245,301,128,340,5303,2625,2504,53040,1116,1141,602,1489,16.0,68.0,45.217934827902326,1199495.9591936027,0.0,0.0,0.0,0.0,0.0,36081079701,0,0,0,0,0
Queens,4079702,Flushing-Willets Point,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0707,QN07,142.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,142.0,0.0020904749383329,4.202919511065787e-05,0.0108243043062669,0.1896093007728587,0.0059504961044598,0.7867796555172775,3635,75,13,279,3209,1219,1327,62070,827,426,136,1124,13.0,59.0,27.241703234194706,3076051.2927588806,0.0,105.15236107249284,0.0,3.418420275371374e-05,0.0,36081079702,0,0,0,0,0
