BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,Shape_Leng,Shape_Area,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c,n_311_reports
Queens,4109700,Bayside,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,QN1102,QN11,11348.1859708,4792217.67906,140.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,140.0,1855,13,128,0,866,685,672,666,131142,233,276,356,100,49.0,99.0,81.12019782558795,4792223.187450002,0.0,0.0,0.0,0.0,0.0,36081109700,0,0,0,0,0,0
Queens,4109900,Auburndale,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,QN1101,QN11,8269.77039239,4073754.4326,194.0,0.0,0.0,0.0,1.0,0.0,193.0,0.0,194.0,3457,0,281,0,1606,1267,1222,1153,93456,533,656,476,117,49.0,103.0,81.71322663000785,4073759.300805557,0.0,0.0,0.0,0.0,0.0,36081109900,0,0,0,0,0,0
Queens,4113300,Auburndale,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,QN1101,QN11,6940.8721217,2746668.40412,65.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0,1410,16,114,0,657,645,625,609,118412,161,391,255,85,51.0,92.0,69.84011067021005,2746671.509362395,0.0,43462.15957456765,48724.354509572004,0.01582357388803907,0.017739418180692,36081113300,1,0,1,0,0,2
Queens,4113900,Auburndale,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,QN1101,QN11,10111.0302493,4132815.93012,227.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,227.0,3885,0,725,0,997,1505,1471,1439,87850,702,662,470,472,56.0,113.0,76.45951764677423,4132820.7298444267,0.0,106036.61773321248,153006.32709158718,0.025657202347899578,0.037022251167750715,36081113900,0,0,0,0,0,0
Queens,4114100,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,9904.91340715,4816036.06486,94.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,94.0,2506,16,189,0,1329,886,849,750,126429,297,520,540,149,67.0,122.0,91.6277751240888,4816041.501440526,0.0,65463.46791964212,107798.09514682282,0.013592795639336028,0.022383132519638655,36081114100,0,1,0,0,0,1
Queens,4114700,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,7549.65040863,3311049.92422,79.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,79.0,1891,0,127,0,788,633,621,611,98188,207,288,328,135,55.0,103.0,75.37039833298101,3311053.372757812,0.0,36513.07469047065,39320.32989684364,0.01102763096206405,0.011875474500156824,36081114700,0,0,0,0,0,0
Queens,4115100,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,7209.91988516,3190090.10732,93.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,93.0,946,0,176,0,241,359,346,309,121719,98,250,212,80,69.0,122.0,94.19453411477106,3190228.0383669646,0.0,0.0,0.0,0.0,0.0,36081115100,0,0,0,0,0,0
Queens,4115500,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,7465.35801988,2013039.57106,72.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,72.0,2079,4,278,57,477,702,632,636,89118,344,318,188,181,70.0,118.0,88.98192561696212,2013041.6760799198,0.0,19176.610762954595,27357.652993813183,0.009526186661121696,0.01359020695840132,36081115500,0,0,0,0,0,0
Queens,4115700,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,7983.88419759,3386397.30908,192.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,192.0,3273,0,352,0,638,1148,999,893,62255,465,753,332,555,59.0,99.0,80.6149781556264,3386400.907194192,0.0,0.0,0.0,0.0,0.0,36081115700,0,0,0,0,0,0
Queens,4115900,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,7333.5703293,3326142.6901,188.0,1.0,0.0,0.0,1.0,0.0,187.0,1.0,187.0,3850,14,279,201,677,1692,1378,1359,63132,761,786,549,423,33.0,79.0,54.88162443262092,3326146.005540945,0.0,0.0,0.0,0.0,0.0,36081115900,1,1,0,0,0,2
Queens,4116100,Flushing-Willets Point,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0707,QN07,6229.47092952,1891158.42336,168.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0,3642,13,570,0,302,1337,1218,1291,42750,800,713,168,645,17.0,62.0,38.80987889364853,1891160.2715131661,0.0,0.0,0.0,0.0,0.0,36081116100,0,0,0,0,0,0
Queens,4116301,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,5540.6247985,1435920.76767,142.0,0.0,0.0,0.0,1.0,0.0,141.0,0.0,142.0,4398,0,521,0,493,1732,1635,1651,41154,996,494,304,1286,47.0,86.0,65.81119709963048,1435922.266201499,0.0,0.0,0.0,0.0,0.0,36081116301,0,0,0,0,0,0
Queens,4117100,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,9896.06008286,4280909.69558,194.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,194.0,2499,0,182,0,404,963,927,935,76658,534,522,242,312,51.0,97.0,71.77986965966691,4280914.389489538,0.0,43628.72508897561,60638.49421468316,0.010191450031351353,0.014164846268255735,36081117100,0,0,0,0,0,0
Queens,4117500,Murray Hill-Broadway Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0704,QN07,10979.1710376,6052323.96173,212.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,212.0,4559,0,493,0,937,1783,1732,1668,87938,573,965,393,355,54.0,119.0,79.63294778585592,6052330.957043016,0.0,0.0,0.0,0.0,0.0,36081117500,0,1,0,0,0,1
Queens,4118100,Auburndale,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),4411,QN1101,QN11,6073.41434334,2098923.48697,67.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,67.0,1924,22,266,18,610,690,641,643,98056,457,366,258,109,53.0,69.0,61.31167532034488,2099450.870032225,0.0,39093.063066055445,69816.87642884246,0.01862061342995628,0.033254827452938125,36081118100,0,0,0,0,0,0
Queens,4118500,East Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0705,QN07,7880.47801957,1665902.15856,78.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78.0,1808,0,540,0,155,654,540,626,60536,381,273,75,249,37.0,68.0,53.43622831762799,1665903.9390056997,0.0,51084.790987930865,60790.46267103689,0.030664907976879503,0.03649097720923805,36081118500,0,1,0,0,0,1
Queens,4118700,East Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0705,QN07,6293.04592733,2015272.50615,61.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,61.0,2513,0,374,24,255,893,768,792,67443,625,277,222,376,0.0,95.0,75.26476426799007,2015274.6273391922,0.0,41080.05284882793,41785.41231143432,0.02038434478930882,0.02073435141026136,36081118700,0,0,0,0,0,0
Queens,4119100,East Flushing,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),4407,QN0705,QN07,7286.99597819,2342906.73318,73.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,73.0,2888,66,308,0,389,1005,937,956,-666666666,812,387,132,329,30.0,68.0,49.70338440527506,2342909.4097416243,0.0,19638.417262585826,19904.98472030177,0.008382064274841745,0.008495840529530712,36081119100,0,0,0,0,0,0
