BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,NTA2020,CDTA2020,n_total,n_classified_positive,n_tp,n_fp,n_tn,n_fn,total_not_annotated,positives_not_annotated,negatives_not_annotated,p_y,p_y_CI_lower,p_y_CI_upper,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,empirical_estimate,at_least_one_positive_image_by_area_if_you_have_100_images,at_least_one_positive_image_by_area_if_you_have_100_images_CI_lower,at_least_one_positive_image_by_area_if_you_have_100_images_CI_upper,n_images_by_area,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_2_area,dep_moderate_1_frac,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Manhattan,1006700,West Village,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0203,MN02,1209.0,0.0,0.0,0.0,1.0,0.0,1208.0,0.0,1209.0,0.0017744728523614,0.0006348466957039,0.0039563491189941,0.8295856461355077,0.5359548335879454,0.9917100651520796,0.0,0.1596987642458516,0.0615304131612701,0.3272756499996493,1209,5020,3855,164,528,291,2957,2959,120964,379,2673,1189,61,1.0,24.0,15.724594505130751,1812883.9246742986,0.0,38337.69310187659,2271.628814491185,0.021147351234174747,0.0012530470283139083,36061006700,0,0,0,0,0
Manhattan,1006800,Gramercy,MN06 East Midtown-Murray Hill (CD 6 Approximation),4165,MN0602,MN06,1255.0,0.0,0.0,0.0,1.0,0.0,1254.0,0.0,1255.0,0.0017450891776269,0.000680488812989,0.0036587862254436,0.8420633407384125,0.5744207790912153,0.9899501485101158,0.0,0.157777050957139,0.065806832847597,0.3068782400871002,1255,7265,4487,735,740,1011,3223,3250,146051,400,2131,1705,124,14.0,42.0,28.9535626797316,1877721.7311580533,0.0,0.0,0.0,0.0,0.0,36061006800,1,0,0,0,0
Manhattan,1007001,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation),4165,MN0603,MN06,169.0,0.0,0.0,0.0,1.0,0.0,168.0,0.0,169.0,0.0021623956888346,0.0007139147990224,0.0050568884023086,0.2945744294858697,0.1136954831783331,0.5754741137748419,0.0,0.1897066031748457,0.0689264239193694,0.3976832278289148,169,3928,3264,70,79,339,1803,1990,153902,58,1380,1251,17,7.0,38.0,23.187487073422957,967528.3042378783,0.0,0.0,0.0,0.0,0.0,36061007001,0,0,0,0,0
Manhattan,1007002,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation),4165,MN0603,MN06,533.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0,533.0,0.002004505093766,0.000670528644634,0.0046599827751928,0.6116508140881748,0.3005854434926258,0.9170548720419556,0.0,0.1774813068302283,0.0648752675909925,0.3731747175166196,533,3657,2129,267,412,717,2143,2143,143183,130,1230,1053,175,12.0,40.0,26.71169162153552,941181.6356539173,0.0,0.0,0.0,0.0,0.0,36061007002,0,0,0,0,0
Manhattan,1007100,West Village,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0203,MN02,1319.0,0.0,0.0,0.0,1.0,0.0,1318.0,0.0,1319.0,0.001793375811429,0.0007026070027502,0.0038196955798383,0.8604399056252999,0.6042863181873985,0.9935767122507482,0.0,0.1616627561900925,0.0678722423508374,0.3179831567583839,1319,4995,3597,262,554,488,2595,2527,173615,203,1867,1725,33,8.0,31.0,21.390485852778717,1774264.954950342,0.0,22679.79997067433,45758.35249853757,0.01278264551604644,0.025790033428134893,36061007100,0,0,0,0,0
Manhattan,1007200,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation),4165,MN0603,MN06,1802.0,1.0,0.0,0.0,3.0,0.0,1799.0,1.0,1801.0,0.0017936083126556,0.0007141255816149,0.0037244954767368,0.9245863196945556,0.7239888469838834,0.9987983630426333,0.0005549389567147,0.1618519223489589,0.0689460631585816,0.3114345254942784,1802,7035,4581,229,365,1382,4032,4064,139577,57,2637,2490,121,16.0,70.0,35.12962864297512,1877429.521842136,0.0,0.0,0.0,0.0,0.0,36061007200,1,0,0,0,0
Manhattan,1007300,West Village,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0203,MN02,1048.0,1.0,0.0,1.0,1.0,0.0,1046.0,0.0,1047.0,0.0018945435405252,0.0006758913821267,0.00423810791919,0.8084496745784544,0.5076540459087863,0.9883328214621652,0.0009541984732824,0.1692990973221127,0.0653769536165768,0.3460415197365282,1048,5683,4254,155,838,354,3490,3427,146964,199,2444,1554,18,12.0,29.0,22.32799145299145,1778588.797871368,0.0,0.0,0.0,0.0,0.0,36061007300,0,0,0,0,0
Manhattan,1007600,Midtown South-Flatiron-Union Square,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),4165,MN0501,MN05,948.0,0.0,0.0,0.0,0.0,0.0,948.0,0.0,948.0,0.0017890384610102,0.0007032495089102,0.003782713797984,0.7715794615652103,0.4867103974908208,0.9724791743067064,0.0,0.1613640752283046,0.0679321723387284,0.3154466076580925,948,2442,1045,84,326,854,1259,1328,127308,191,838,591,159,35.0,62.0,44.71476617552851,1873518.8433198475,0.0,0.0,0.0,0.0,0.0,36061007600,0,0,0,0,0
Manhattan,1007700,West Village,MN02 Greenwich Village-SoHo (CD 2 Equivalent),4121,MN0203,MN02,997.0,3.0,0.0,1.0,1.0,0.0,995.0,2.0,994.0,0.0022514477871732,0.0008350621871195,0.0049479825267589,0.8436211200551156,0.5652155172512984,0.992883815021402,0.0030090270812437,0.1974579008083801,0.0801467242858745,0.3910544548487572,997,5706,4612,36,378,167,3350,3300,161094,78,2247,1943,0,8.0,31.0,20.68184414101033,1924996.5724002381,0.0,21528.15596254529,0.0,0.011183477555859895,0.0,36061007700,0,0,0,0,0
Manhattan,1007800,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation),4165,MN0603,MN06,2467.0,3.0,0.0,0.0,2.0,0.0,2465.0,3.0,2464.0,0.0020378836158658,0.0007921661542925,0.0042852638720804,0.9740342502299636,0.8584423675790469,0.9999749456288304,0.0012160518848804,0.1812551889866589,0.0761892167478915,0.3491311999207627,2467,9023,4284,115,1878,2167,4419,4503,149915,359,3381,2975,223,0.0,39.0,20.486719648645824,1912110.4837016468,1.0,0.0,0.0,0.0,0.0,36061007800,0,0,0,0,0
Manhattan,1008000,Murray Hill-Kips Bay,MN06 East Midtown-Murray Hill (CD 6 Approximation),4165,MN0603,MN06,2083.0,0.0,0.0,0.0,2.0,0.0,2081.0,0.0,2083.0,0.0017274043592931,0.0006531149903883,0.0037230590360152,0.9366000398761908,0.7435657492278942,0.9995776196169774,0.0,0.1561427390831738,0.0632443747806777,0.3113352402337297,2083,5137,3355,316,483,877,2753,2651,163454,117,1918,1546,0,26.0,79.0,51.61390086206897,1855977.3955612367,0.0,0.0,0.0,0.0,0.0,36061008000,0,0,0,0,0
