                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[150]                                   0.002  0.004   0.000    0.007      0.000    0.000    2400.0    3470.0   1.00
p_y[151]                                   0.001  0.003   0.000    0.005      0.000    0.000    2725.0    3493.0   1.00
p_y[152]                                   0.001  0.004   0.000    0.005      0.000    0.000    2723.0    4676.0   1.00
p_y[153]                                   0.003  0.006   0.000    0.009      0.000    0.000    2844.0    4127.0   1.00
p_y[154]                                   0.001  0.002   0.000    0.002      0.000    0.000    2462.0    4445.0   1.00
p_y[155]                                   0.055  0.121   0.000    0.249      0.002    0.001    4225.0    4693.0   1.00
p_y[156]                                   0.001  0.002   0.000    0.002      0.000    0.000    2389.0    3757.0   1.00
p_y[157]                                   0.005  0.009   0.000    0.017      0.000    0.000    3624.0    5018.0   1.00
p_y[158]                                   0.003  0.005   0.000    0.010      0.000    0.000    3883.0    5182.0   1.00
p_y[159]                                   0.006  0.014   0.000    0.022      0.000    0.000    4328.0    5991.0   1.00
p_y[160]                                   0.003  0.005   0.000    0.009      0.000    0.000    3411.0    4018.0   1.00
p_y[161]                                   0.001  0.004   0.000    0.003      0.000    0.000    2710.0    5089.0   1.00
p_y[162]                                   0.002  0.004   0.000    0.009      0.000    0.000    3139.0    3403.0   1.00
p_y[163]                                   0.002  0.006   0.000    0.005      0.000    0.000    3310.0    4417.0   1.00
p_y[164]                                   0.000  0.001   0.000    0.002      0.000    0.000    2270.0    3944.0   1.00
p_y[165]                                   0.001  0.002   0.000    0.003      0.000    0.000    3074.0    4610.0   1.00
p_y[166]                                   0.000  0.002   0.000    0.002      0.000    0.000    2631.0    4621.0   1.00
p_y[167]                                   0.001  0.002   0.000    0.005      0.000    0.000    3172.0    4649.0   1.00
p_y[168]                                   0.001  0.003   0.000    0.004      0.000    0.000    2839.0    3693.0   1.00
p_y[169]                                   0.001  0.004   0.000    0.005      0.000    0.000    3435.0    4816.0   1.00
p_y[170]                                   0.004  0.008   0.000    0.015      0.000    0.000    3144.0    4460.0   1.00
p_y[171]                                   0.001  0.002   0.000    0.004      0.000    0.000    3333.0    5575.0   1.00
p_y[172]                                   0.058  0.043   0.003    0.136      0.001    0.000    3613.0    4131.0   1.00
p_y[173]                                   0.003  0.004   0.000    0.009      0.000    0.000    3952.0    5397.0   1.00
p_y[174]                                   0.003  0.005   0.000    0.010      0.000    0.000    3990.0    4680.0   1.00
p_y[175]                                   0.002  0.005   0.000    0.006      0.000    0.000    3604.0    4881.0   1.00
p_y[176]                                   0.006  0.007   0.000    0.018      0.000    0.000    3076.0    3112.0   1.00
p_y[177]                                   0.001  0.003   0.000    0.002      0.000    0.000    2200.0    3198.0   1.00
p_y[178]                                   0.003  0.005   0.000    0.009      0.000    0.000    3061.0    4070.0   1.00
p_y[179]                                   0.001  0.001   0.000    0.002      0.000    0.000    2846.0    3834.0   1.00
p_y[180]                                   0.001  0.004   0.000    0.003      0.000    0.000    2986.0    4209.0   1.00
p_y[181]                                   0.001  0.001   0.000    0.002      0.000    0.000    2541.0    5690.0   1.00
p_y[182]                                   0.001  0.002   0.000    0.002      0.000    0.000    2735.0    3592.0   1.00
p_y[183]                                   0.001  0.002   0.000    0.003      0.000    0.000    2808.0    5089.0   1.00
p_y[184]                                   0.003  0.004   0.000    0.008      0.000    0.000    3127.0    4317.0   1.00
p_y[185]                                   0.044  0.046   0.000    0.125      0.001    0.000    2951.0    2131.0   1.00
p_y[186]                                   0.001  0.001   0.000    0.002      0.000    0.000    2570.0    5012.0   1.00
p_y[187]                                   0.001  0.002   0.000    0.002      0.000    0.000    2907.0    4072.0   1.00
p_y[188]                                   0.000  0.001   0.000    0.002      0.000    0.000    2964.0    5711.0   1.00
p_y[189]                                   0.001  0.002   0.000    0.003      0.000    0.000    2628.0    3725.0   1.00
p_y[190]                                   0.001  0.002   0.000    0.003      0.000    0.000    2515.0    4107.0   1.00
p_y[191]                                   0.001  0.003   0.000    0.004      0.000    0.000    2063.0    2788.0   1.00
p_y[192]                                   0.001  0.002   0.000    0.002      0.000    0.000    2377.0    4462.0   1.00
p_y[193]                                   0.003  0.009   0.000    0.013      0.000    0.000    2740.0    3094.0   1.00
p_y[194]                                   0.001  0.002   0.000    0.003      0.000    0.000    2235.0    3092.0   1.00
p_y[195]                                   0.001  0.001   0.000    0.002      0.000    0.000    2366.0    4693.0   1.00
p_y[196]                                   0.001  0.004   0.000    0.005      0.000    0.000    2142.0    2920.0   1.00
p_y[197]                                   0.000  0.001   0.000    0.002      0.000    0.000    1955.0    3568.0   1.00
p_y[198]                                   0.001  0.001   0.000    0.002      0.000    0.000    1930.0    2628.0   1.00
p_y[199]                                   0.000  0.001   0.000    0.002      0.000    0.000    2382.0    4001.0   1.00
p_y[200]                                   0.001  0.003   0.000    0.004      0.000    0.000    2385.0    3667.0   1.00
p_y[201]                                   0.003  0.005   0.000    0.010      0.000    0.000    3129.0    4180.0   1.00
p_y[202]                                   0.001  0.004   0.000    0.006      0.000    0.000    2138.0    4285.0   1.00
p_y[203]                                   0.001  0.002   0.000    0.002      0.000    0.000    2699.0    3501.0   1.00
p_y[204]                                   0.001  0.004   0.000    0.005      0.000    0.000    1505.0    3706.0   1.00
p_y[205]                                   0.003  0.006   0.000    0.011      0.000    0.000    1999.0    2887.0   1.00
p_y[206]                                   0.001  0.003   0.000    0.004      0.000    0.000    1663.0    3673.0   1.00
p_y[207]                                   0.004  0.011   0.000    0.016      0.000    0.000    1371.0    3028.0   1.00
p_y[208]                                   0.001  0.004   0.000    0.005      0.000    0.000    2419.0    3600.0   1.00
p_y[209]                                   0.001  0.002   0.000    0.003      0.000    0.000    2084.0    5040.0   1.00
p_y[210]                                   0.001  0.002   0.000    0.003      0.000    0.000    2567.0    3834.0   1.00
p_y[211]                                   0.001  0.002   0.000    0.003      0.000    0.000    3288.0    4449.0   1.00
p_y[212]                                   0.001  0.002   0.000    0.003      0.000    0.000    1753.0    3546.0   1.00
p_y[213]                                   0.002  0.007   0.000    0.009      0.000    0.000    2534.0    3720.0   1.00
p_y[214]                                   0.001  0.003   0.000    0.004      0.000    0.000    2026.0    3984.0   1.00
