BoroName,BoroCT2020,NTAName,CDTANAME,PUMA,empirical_estimate_ct,p_y,p_y_CI_lower,p_y_CI_upper,empirical_estimate_p_alop,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,total_population,nhl_white_alone,nhl_black_alone,hispanic_alone,nhl_asian_alone,n_children,n_elderly,total_households,num_households_with_internet,num_households_with_smartphone,median_household_income,num_high_school_graduates,num_bachelors_degree,num_graduate_degree,num_limited_english_speaking_households,ft_elevation_min,ft_elevation_max,ft_elevation_mean,area,n_floodnet_sensors,dep_moderate_1_area,dep_moderate_1_frac,dep_moderate_2_area,dep_moderate_2_frac,GEOID,sewer_backup_311c,street_flooding_311c,catch_basin_clogged/flooding_311c,manhole_overflow_311c,highway_flooding_311c
Brooklyn,3010100,Sunset Park (West),BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),4307,0.0013020833333333,0.005032529934035,0.0001494530050214,0.0206621642564721,0.0013020833333333,0.7770335812082289,0.1084452989567341,0.9999998913095588,4372,1155,120,2663,283,832,239,1526,1381,1349,118906,675,751,679,72,8.0,69.0,27.588512657295254,3393637.203208336,0.0,11229.367494114458,0.0033089475455709413,11675.167231369573,0.0034403109502488655,36047010100,2,0,1,0,0
Queens,4048900,Woodside,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),4402,0.0014880952380952,0.003633120068269,0.0001643011447774,0.0140440221691025,0.0014880952380952,0.8421490905382648,0.1981541376078741,0.9999999944471882,1633,102,28,863,640,316,187,522,314,494,56600,570,110,69,170,14.0,62.0,32.195439989752785,3902884.4632437457,1.0,186731.87505705576,0.04784458182547892,300346.9059417149,0.07695511070601667,36081048900,1,1,1,0,0
Brooklyn,3014500,Sunset Park (West),BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),4307,0.0022222222222222,0.0050665109605635,6.576997023790595e-05,0.0247513412014501,0.0022222222222222,0.6097226540763262,0.0291637446029155,0.9999873551073416,4367,2679,93,925,352,891,169,1901,1885,1803,112596,374,1294,917,87,12.0,111.0,58.510226095961336,2317453.46575405,0.0,0.0,0.0,0.0,0.0,36047014500,0,0,1,0,0
Brooklyn,3011700,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),4306,0.0013210039630118,0.0029602071726512,8.664271366133813e-05,0.0141272041126544,0.0013210039630118,0.6338155550891124,0.0634865317919505,0.999978990856346,3004,1254,178,1074,370,594,360,1142,1075,1097,118393,375,823,561,59,11.0,54.0,27.904849969947755,2163266.014601324,0.0,3133.325835610345,0.0014484237326622988,3133.325835610345,0.0014484237326622988,36047011700,2,1,0,0,0
Brooklyn,3014300,Sunset Park (West),BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),4307,0.0,0.0015684333745781,5.321331226658976e-05,0.0070637703693247,0.0,0.6605435007056777,0.0733230610091066,0.9999606936794038,3882,1583,161,1530,286,691,290,1473,1351,1377,122344,351,992,512,13,15.0,120.0,67.41942113375578,2335439.2398832007,0.0,0.0,0.0,0.0,0.0,36047014300,4,1,1,0,0
Bronx,2021001,Parkchester,BX09 Soundview-Parkchester (CD 9 Approximation),4209,0.0,0.0011436267665977,4.2696932342686425e-05,0.0061026235848794,0.0,0.2524542727682999,0.0147910688932053,0.8819138150431656,7895,135,3904,3112,667,1706,1272,3562,3043,3210,46269,1448,966,623,523,24.0,67.0,40.10190622894002,2077080.666119839,0.0,80934.90420126244,0.03896570100594871,124377.17598567915,0.05988076342650001,36005021001,0,0,0,0,0
Queens,4021900,Maspeth,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),4405,0.0021474588403722,0.0067009329608091,0.0009986935977383,0.0199058740333946,0.0021474588403722,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0.0,51.0,17.621205098493625,13806350.027357075,0.0,241962.0634492975,0.017525418591434617,407971.9645280606,0.02954958868344423,36081021900,0,0,0,0,0
Queens,4053502,Maspeth,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),4405,0.0164609053497942,0.0658315077455563,0.0130798070744288,0.1714377947452247,0.0164609053497942,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0.0,40.0,17.45137378362908,3494829.0987548013,0.0,169777.13654346185,0.04857952470521463,263827.9537031407,0.07549094569377998,36081053502,0,0,0,0,0
Manhattan,1000202,Lower East Side,MN03 Lower East Side-Chinatown (CD 3 Equivalent),4103,0.0,0.0009921272838777,2.238446390222987e-05,0.0050022798868251,0.0,0.5103093580080748,0.0307441594843938,0.999084181410017,7001,1601,1142,2632,1444,878,1275,3293,2519,2838,34710,1062,1272,807,584,0.0,38.0,18.17564551158301,3315115.589173388,0.0,17356.84463805841,0.005235668009508614,17356.84463805841,0.005235668009508614,36061000202,0,0,0,0,0
Brooklyn,3002100,Downtown Brooklyn-DUMBO-Boerum Hill,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),4302,0.0023798191337458,0.0045225054759563,0.0004608030835728,0.0142882655134117,0.0023798191337458,1.0,1.0,1.0,5938,4265,130,308,897,1502,146,2312,2285,2302,250001,132,1964,2102,72,0.0,69.0,21.81026144248966,5707183.054948194,0.0,11453.195889507846,0.0020068036681560077,17799.89533073053,0.0031188583158021916,36047002100,0,0,0,0,0
Brooklyn,3038700,Bedford-Stuyvesant (East),BK03 Bedford-Stuyvesant (CD 3 Approximation),4303,0.0,0.000392369946144,4.852317291879956e-06,0.0025609427634482,0.0,0.0750977144949594,0.0011735744556527,0.4623476277270926,4632,795,2545,577,603,819,482,1929,1665,1717,76150,1043,962,312,33,46.0,61.0,52.70398856184983,2027988.9835618103,0.0,4582.544313644525,0.0022596495103223303,4582.544313644525,0.0022596495103223303,36047038700,0,0,0,0,0
Brooklyn,3039500,Bushwick (East),BK04 Bushwick (CD 4 Equivalent),4304,0.0,0.0003474858825268,8.278083154460537e-06,0.0020895937340435,0.0,0.1031426636495622,0.003099480692979,0.5436145265488974,3676,1184,1224,1062,98,337,445,1836,1555,1580,52188,494,764,333,317,46.0,64.0,56.36399673545529,1715479.3011161226,0.0,0.0,0.0,0.0,0.0,36047039500,0,0,0,0,0
Brooklyn,3028900,Bedford-Stuyvesant (East),BK03 Bedford-Stuyvesant (CD 3 Approximation),4303,0.0,0.0005590096760308,7.094128632706652e-06,0.0035880279786993,0.0,0.1053253036147565,0.0018002925899219,0.5986807431930461,3678,598,2142,749,80,600,534,1548,1116,1396,42456,760,579,319,109,43.0,66.0,55.85980941704036,1784336.8990413828,0.0,22111.515205017153,0.012392006922513537,34285.74643822781,0.019214839112864552,36047028900,1,0,0,0,0
