                                            mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
p_y[133]                                   0.001  0.002   0.000    0.004      0.000    0.000    5078.0    8004.0   1.00
p_y[134]                                   0.001  0.002   0.000    0.004      0.000    0.000    5484.0    7271.0   1.00
p_y[135]                                   0.001  0.003   0.000    0.005      0.000    0.000    5278.0    8122.0   1.00
p_y[136]                                   0.001  0.002   0.000    0.004      0.000    0.000    4546.0    6142.0   1.00
p_y[137]                                   0.001  0.003   0.000    0.004      0.000    0.000    4787.0    7433.0   1.00
p_y[138]                                   0.002  0.004   0.000    0.007      0.000    0.000    4113.0    7131.0   1.00
p_y[139]                                   0.001  0.003   0.000    0.005      0.000    0.000    4903.0    7539.0   1.00
p_y[140]                                   0.001  0.002   0.000    0.004      0.000    0.000    5438.0    8375.0   1.00
p_y[141]                                   0.001  0.003   0.000    0.005      0.000    0.000    5542.0    8037.0   1.00
p_y[142]                                   0.002  0.004   0.000    0.007      0.000    0.000    5300.0    6488.0   1.00
p_y[143]                                   0.005  0.013   0.000    0.018      0.000    0.001    6977.0    9778.0   1.00
p_y[144]                                   0.008  0.014   0.000    0.027      0.000    0.001    5514.0    5632.0   1.00
p_y[145]                                   0.005  0.011   0.000    0.020      0.000    0.000    6598.0    9012.0   1.00
p_y[146]                                   0.068  0.026   0.023    0.115      0.000    0.000    5449.0    6551.0   1.00
p_y[147]                                   0.028  0.016   0.005    0.058      0.000    0.000    6003.0    7170.0   1.00
p_y[148]                                   0.007  0.017   0.000    0.028      0.000    0.001    6176.0    9023.0   1.00
p_y[149]                                   0.004  0.008   0.000    0.015      0.000    0.000    5883.0    7720.0   1.00
p_y[150]                                   0.005  0.007   0.000    0.016      0.000    0.000    5616.0    8870.0   1.00
p_y[151]                                   0.002  0.004   0.000    0.008      0.000    0.000    5975.0    7619.0   1.00
p_y[152]                                   0.003  0.008   0.000    0.011      0.000    0.000    5902.0    8812.0   1.00
p_y[153]                                   0.002  0.005   0.000    0.006      0.000    0.000    5528.0    8598.0   1.00
p_y[154]                                   0.001  0.002   0.000    0.004      0.000    0.000    5215.0    7985.0   1.00
p_y[155]                                   0.055  0.125   0.000    0.251      0.001    0.003    8120.0    9215.0   1.00
p_y[156]                                   0.001  0.003   0.000    0.004      0.000    0.000    4917.0    7298.0   1.00
p_y[157]                                   0.009  0.015   0.000    0.032      0.000    0.000    7865.0    9269.0   1.00
p_y[158]                                   0.005  0.008   0.000    0.017      0.000    0.000    7389.0    8805.0   1.00
p_y[159]                                   0.011  0.028   0.000    0.043      0.000    0.001    7066.0    8330.0   1.00
p_y[160]                                   0.005  0.008   0.000    0.018      0.000    0.000    6174.0    8367.0   1.00
p_y[161]                                   0.002  0.007   0.000    0.008      0.000    0.000    5566.0    7661.0   1.00
p_y[162]                                   0.004  0.006   0.000    0.014      0.000    0.000    6711.0    8695.0   1.00
p_y[163]                                   0.002  0.006   0.000    0.008      0.000    0.000    4734.0    4262.0   1.00
p_y[164]                                   0.001  0.001   0.000    0.002      0.000    0.000    4845.0    7340.0   1.00
p_y[165]                                   0.001  0.002   0.000    0.004      0.000    0.000    4674.0    5758.0   1.00
p_y[166]                                   0.001  0.003   0.000    0.004      0.000    0.000    5435.0    8077.0   1.00
p_y[167]                                   0.002  0.003   0.000    0.006      0.000    0.000    5063.0    7206.0   1.00
