geoid,tract_id,empirical_estimate,at_least_one_positive_image_by_area,at_least_one_positive_image_by_area_CI_lower,at_least_one_positive_image_by_area_CI_upper,n_images_by_area
36061022000.0,36061022000.0,0.0,0.19379628550548456,0.002449940071172577,0.8917094490290132,311
36061022102.0,36061022102.0,0.0,0.1359132896589502,0.002094253927437964,0.7256835220423831,157
36061022200.0,36061022200.0,0.0,0.2412592834751551,0.005353029309804908,0.9280337319535669,423
36061022301.0,36061022301.0,0.0,0.2043677683695467,0.0011822289490932725,0.9336965390643936,358
36061022400.0,36061022400.0,0.002890173410404624,0.2850004463309787,0.005451444294769714,0.9810002571342565,346
36061022600.0,36061022600.0,0.0,0.16940342610198564,0.00230021830564742,0.8393417139551523,204
36061022800.0,36061022800.0,0.0,0.19773925256304406,0.0033502763128616664,0.8890576870309151,292
36061023100.0,36061023100.0,0.0,0.19359644494616712,0.005963065930824585,0.8292304782770188,198
36061023400.0,36061023400.0,0.0,0.1556926402033376,0.0027989923156306966,0.7857779078863651,117
36061023502.0,36061023502.0,0.0,0.13789465996807632,0.0025357605958807815,0.7255601463525987,39
36061024301.0,36061024301.0,0.0,0.2603771454655229,0.006790701631172772,0.9435061100274473,62
36061024900.0,36061024900.0,0.0,0.28568860488141,0.005022216608977817,0.9774861365903879,109
36061025500.0,36061025500.0,0.015360983102918587,1.0,1.0,1.0,1302
36061026500.0,36061026500.0,0.008036739380022962,0.9990001712535092,0.9980290069972801,1.0,871
36061026700.0,36061026700.0,0.0,0.1733750529394774,0.0008440738488922711,0.9079077648241539,46
36061026900.0,36061026900.0,0.0,0.3467954572298907,0.010250947108242313,0.9858272056693423,171
36061027100.0,36061027100.0,0.0,0.41398233228861064,0.02069773397765681,0.9923177402002633,192
36061029300.0,36061029300.0,0.0,0.24778805489716388,0.0016829778747636081,0.9758706891483301,280
36061029500.0,36061029500.0,0.0,0.1479956350174611,0.0008718549116118774,0.8573476371302565,86
36005000200.0,36005000200.0,0.0,0.11043723631496359,0.000415752909189937,0.7266778612312269,106
36005001600.0,36005001600.0,0.0,0.14351919423529233,0.0013866961456547645,0.780115945873863,220
36005001904.0,36005001904.0,,0.0,0.0,0.0,0
36005002002.0,36005002002.0,0.0,0.0767431449747855,0.0006564923445011361,0.5067591321195071,86
36005002300.0,36005002300.0,0.0,0.3937440413762708,0.012419073169037925,0.9945878427237338,99
36005002500.0,36005002500.0,0.0,0.4580590234750123,0.021751207162678022,0.9978739886330095,225
36005002701.0,36005002701.0,0.0,0.1869135148756046,0.0012655595396477066,0.9265052821664606,31
36005002702.0,36005002702.0,0.0,0.42882983293557136,0.024996766018657475,0.9929729366197532,176
36005003800.0,36005003800.0,0.0,0.07422871329332555,0.00013674455418868914,0.6076065562785617,52
36005003900.0,36005003900.0,0.0,0.4769639130836594,0.02869941678858349,0.9982418345549329,285
36005004001.0,36005004001.0,0.0,0.09700890773349738,0.00044873589754488853,0.6673906323104652,70
36005004200.0,36005004200.0,0.0,0.41344334651463815,0.022934968443968053,0.9895025330167854,1573
36005004400.0,36005004400.0,0.0,0.24654204962729254,0.00776261498212342,0.9065903087102134,344
36005004600.0,36005004600.0,0.0,0.19040392194510564,0.002868286775166945,0.8723708987921622,281
36005004800.0,36005004800.0,0.0,0.2721027440990526,0.011619490954591152,0.9255789427394999,245
36005005001.0,36005005001.0,0.0,0.05409907526977869,0.00020720410810460277,0.4267378256597326,22
36005005002.0,36005005002.0,0.0,0.09761334480722489,0.0004736102363238043,0.6746600498073227,47
36005005400.0,36005005400.0,0.0,0.14549796331334763,0.002003375877398525,0.7750484179043583,121
36005006302.0,36005006302.0,0.0,0.29612552867709785,0.008447788114424672,0.9682032573371281,289
36005006400.0,36005006400.0,0.029585798816568046,1.0,1.0,1.0,169
36005006500.0,36005006500.0,0.0,0.4131809203621956,0.02600053891416904,0.9895611957734298,360
36005006800.0,36005006800.0,0.0,0.30827629466380574,0.007766274235069407,0.9747333408759318,175
36005007000.0,36005007000.0,0.0,0.1528964378087462,0.0016613026107295565,0.821241220450036,81
36005007200.0,36005007200.0,0.0023923444976076554,0.38061093858858064,0.01346741713826963,0.9938624591643247,418
36005007400.0,36005007400.0,0.0,0.05559746433334051,0.00023564903576909493,0.42920906748066173,47
